date,link,kubikmeter,produkt,currency,price
2025-10-09 19:07:33,app.entsorgo.de,5,Styropor (HBCD frei mit Nachweis) Container,€,892.5
2025-10-09 19:07:33,app.entsorgo.de,3,Siedlungsabfall Container,€,399.76
2025-10-09 19:07:33,app.entsorgo.de,5,Siedlungsabfall Container,€,550.73
2025-10-09 19:07:33,app.entsorgo.de,7,Siedlungsabfall Container,€,761.98
2025-10-09 19:07:33,app.entsorgo.de,10,Siedlungsabfall Container,€,992.91
2025-10-09 19:07:33,app.entsorgo.de,3,Gartenabfall: Grünschnitt Container,€,302.05
2025-10-09 19:07:33,app.entsorgo.de,5,Gartenabfall: Grünschnitt Container,€,337.56
2025-10-09 19:07:33,app.entsorgo.de,7,Gartenabfall: Grünschnitt Container,€,472.58
2025-10-09 19:07:33,app.entsorgo.de,10,Gartenabfall: Grünschnitt Container,€,675.11
2025-10-09 19:07:33,app.entsorgo.de,3,Holz schadstoffbelastet (A4) Container,€,324.87
2025-10-09 19:07:33,app.entsorgo.de,5,Holz schadstoffbelastet (A4) Container,€,425.43
2025-10-09 19:07:33,app.entsorgo.de,7,Holz schadstoffbelastet (A4) Container,€,512.37
2025-10-09 19:07:33,app.entsorgo.de,10,Holz schadstoffbelastet (A4) Container,€,599.21
2025-10-09 19:07:33,app.entsorgo.de,15,Holz schadstoffbelastet (A4) Container,€,776.12
2025-10-09 19:07:33,app.entsorgo.de,22,Holz schadstoffbelastet (A4) Container,€,978.77
2025-10-09 19:07:33,app.entsorgo.de,10,Schrott Container,€,464.1
2025-10-09 19:07:33,app.entsorgo.de,40,Schrott Container,€,773.5
2025-10-09 19:07:33,app.entsorgo.de,3,Gips (gemischt) Container,€,422.86
